onset	duration
0.844	1
4.845	1
8.845	1
12.845	1
17.846	1
21.846	1
27.846	1
33.347	1
38.847	1
42.847	1
46.847	1
53.848	1
59.348	1
64.349	1
68.849	1
75.849	1
79.85	1
86.85	1
92.351	1
96.351	1
103.351	1
107.352	1
111.352	1
114.852	1
118.852	1
123.353	1
130.353	1
133.853	1
139.854	1
145.354	1
150.854	1
157.855	1
161.855	1
167.356	1
172.856	1
176.856	1
183.357	1
187.857	1
191.857	1
196.858	1
201.358	1
205.358	1
209.358	1
213.359	1
217.359	1
221.359	1
225.36	1
228.86	1
236.36	1
240.361	1
247.361	1
252.861	1
256.361	1
260.862	1
267.362	1
271.362	1
277.363	1
282.863	1
286.863	1
290.864	1
330.366	1
334.367	1
338.367	1
341.867	1
346.368	1
350.368	1
354.368	1
359.369	1
366.869	1
373.869	1
377.87	1
383.37	1
388.871	1
392.871	1
397.871	1
403.371	1
407.872	1
413.372	1
417.372	1
422.873	1
429.873	1
433.874	1
437.874	1
441.374	1
445.874	1
451.375	1
456.875	1
462.375	1
467.876	1
471.876	1
477.377	1
481.377	1
486.877	1
492.378	1
495.878	1
501.378	1
505.878	1
509.879	1
513.879	1
519.379	1
524.38	1
530.38	1
535.881	1
539.881	1
546.381	1
552.382	1
556.382	1
561.882	1
565.883	1
571.383	1
574.883	1
580.884	1
584.884	1
588.884	1
595.885	1
599.885	1
603.885	1
607.385	1
612.886	1
618.886	1
