onset	duration
0.844	1
6.344	1
13.345	1
17.345	1
22.346	1
27.846	1
32.346	1
37.347	1
43.347	1
47.347	1
51.348	1
58.348	1
62.348	1
67.849	1
74.849	1
78.349	1
82.85	1
88.35	1
93.851	1
97.851	1
103.351	1
107.351	1
111.352	1
116.852	1
123.853	1
127.853	1
134.353	1
139.854	1
144.354	1
149.854	1
153.855	1
159.355	1
165.855	1
170.356	1
174.356	1
181.356	1
186.856	1
193.357	1
197.358	1
203.358	1
207.358	1
211.358	1
218.359	1
222.359	1
225.859	1
231.86	1
236.86	1
241.36	1
245.361	1
248.861	1
254.861	1
258.862	1
262.862	1
266.862	1
272.363	1
276.363	1
281.863	1
285.863	1
289.864	1
295.364	1
334.367	1
340.367	1
345.367	1
349.868	1
353.368	1
360.869	1
364.869	1
368.869	1
374.369	1
381.37	1
386.87	1
390.371	1
394.871	1
401.871	1
405.872	1
411.372	1
416.872	1
423.873	1
430.873	1
435.873	1
439.874	1
447.375	1
452.875	1
456.875	1
460.875	1
464.376	1
468.876	1
474.376	1
479.877	1
485.377	1
489.377	1
496.378	1
500.378	1
504.378	1
508.378	1
513.879	1
519.379	1
523.379	1
530.38	1
535.88	1
539.881	1
543.881	1
548.881	1
554.882	1
558.382	1
562.882	1
566.882	1
573.883	1
579.383	1
584.884	1
591.384	1
595.384	1
599.384	1
606.885	1
613.886	1
620.886	1
624.886	1
631.887	1
638.887	1
644.388	1
