onset	duration
0.854	1
4.854	1
11.855	1
17.355	1
21.355	1
26.856	1
30.356	1
34.856	1
38.856	1
42.856	1
46.857	1
53.857	1
60.858	1
64.358	1
68.858	1
75.859	1
79.359	1
83.859	1
89.36	1
93.36	1
98.86	1
102.86	1
106.361	1
110.861	1
114.861	1
118.862	1
124.362	1
127.862	1
132.362	1
136.363	1
140.363	1
144.364	1
148.364	1
153.864	1
160.864	1
164.865	1
168.865	1
172.865	1
176.866	1
183.866	1
188.867	1
193.367	1
196.867	1
201.367	1
205.368	1
208.869	1
215.868	1
220.369	1
227.369	1
232.369	1
236.87	1
240.37	1
246.37	1
250.371	1
254.371	1
259.871	1
263.871	1
270.872	1
274.372	1
278.872	1
316.375	1
321.875	1
326.376	1
331.876	1
335.876	1
339.377	1
346.877	1
353.878	1
360.878	1
366.378	1
371.879	1
377.379	1
381.379	1
385.38	1
389.38	1
396.38	1
401.881	1
407.381	1
411.382	1
414.882	1
419.382	1
424.882	1
430.383	1
435.883	1
441.384	1
445.384	1
450.884	1
454.385	1
458.885	1
465.885	1
469.885	1
476.386	1
480.886	1
487.887	1
494.887	1
501.888	1
507.388	1
514.388	1
518.389	1
522.389	1
526.389	1
533.39	1
537.39	1
541.39	1
546.891	1
551.891	1
558.892	1
563.392	1
568.392	1
572.392	1
576.893	1
580.893	1
585.893	1
591.894	1
596.894	1
602.894	1
609.895	1
613.895	1
617.895	1
621.896	1
