onset	duration
0.844	1
4.845	1
11.845	1
15.845	1
22.846	1
29.846	1
36.847	1
40.847	1
44.847	1
48.848	1
54.348	1
61.349	1
65.349	1
72.349	1
76.35	1
80.35	1
85.85	1
89.351	1
93.851	1
98.851	1
103.351	1
108.352	1
114.352	1
119.853	1
124.853	1
132.353	1
136.354	1
140.354	1
147.354	1
153.855	1
157.855	1
162.355	1
167.356	1
171.856	1
175.856	1
181.357	1
187.857	1
192.357	1
199.358	1
203.358	1
210.359	1
217.359	1
224.36	1
230.86	1
236.86	1
243.861	1
247.861	1
251.861	1
255.862	1
259.862	1
265.362	1
272.363	1
279.363	1
283.364	1
286.864	1
292.364	1
299.365	1
306.865	1
310.865	1
316.366	1
354.368	1
361.369	1
366.869	1
370.369	1
374.87	1
378.37	1
382.37	1
387.87	1
395.371	1
399.371	1
404.372	1
408.872	1
412.872	1
416.872	1
420.873	1
427.873	1
434.874	1
439.874	1
444.374	1
448.375	1
452.375	1
459.375	1
463.376	1
468.876	1
474.376	1
481.377	1
485.377	1
489.377	1
492.878	1
497.378	1
501.378	1
505.378	1
508.879	1
515.879	1
523.38	1
530.38	1
535.881	1
541.381	1
545.381	1
549.381	1
553.382	1
560.382	1
565.383	1
571.383	1
574.883	1
579.383	1
584.884	1
591.884	1
597.385	1
602.885	1
606.885	1
610.886	1
614.886	1
618.886	1
625.887	1
629.887	1
633.387	1
640.888	1
644.888	1
650.388	1
