onset	duration
0.852	1
5.852	1
11.853	1
15.853	1
21.353	1
25.353	1
30.854	1
37.354	1
43.355	1
48.855	1
52.855	1
56.356	1
62.356	1
67.856	1
71.357	1
78.857	1
82.857	1
89.858	1
93.358	1
97.858	1
101.859	1
107.359	1
110.859	1
116.86	1
123.86	1
127.86	1
131.861	1
138.861	1
144.361	1
148.362	1
152.362	1
157.862	1
161.863	1
167.363	1
171.363	1
178.364	1
182.364	1
187.864	1
191.365	1
197.365	1
201.365	1
208.366	1
212.366	1
216.366	1
219.867	1
225.867	1
232.867	1
236.868	1
240.868	1
244.868	1
249.869	1
256.869	1
261.369	1
265.37	1
269.37	1
272.87	1
277.37	1
282.371	1
286.871	1
290.871	1
328.874	1
334.374	1
338.375	1
343.875	1
347.875	1
351.875	1
355.876	1
361.376	1
365.376	1
370.377	1
375.877	1
380.377	1
387.378	1
392.878	1
396.378	1
400.879	1
407.379	1
413.38	1
417.38	1
424.38	1
429.881	1
435.381	1
439.381	1
442.882	1
447.382	1
450.882	1
456.883	1
463.884	1
467.883	1
474.884	1
478.885	1
484.384	1
487.885	1
491.885	1
496.385	1
501.886	1
507.386	1
514.386	1
518.386	1
525.387	1
529.387	1
534.888	1
539.888	1
547.389	1
550.889	1
555.389	1
559.389	1
563.39	1
567.39	1
572.89	1
576.891	1
582.391	1
587.891	1
591.892	1
595.392	1
601.392	1
606.893	1
613.893	1
617.893	1
622.894	1
