onset	duration
0.857	1
4.857	1
10.357	1
15.858	1
19.858	1
24.858	1
32.359	1
36.359	1
43.36	1
47.36	1
52.861	1
56.861	1
60.361	1
64.861	1
68.861	1
72.862	1
76.362	1
80.362	1
85.863	1
89.863	1
94.363	1
101.364	1
106.864	1
110.864	1
114.865	1
118.865	1
122.865	1
128.365	1
134.866	1
140.866	1
146.367	1
149.867	1
154.367	1
158.367	1
161.868	1
165.868	1
170.368	1
174.369	1
178.369	1
183.869	1
187.869	1
191.87	1
198.87	1
202.37	1
206.871	1
212.371	1
216.371	1
221.872	1
227.372	1
232.872	1
236.873	1
242.373	1
247.873	1
254.874	1
260.374	1
264.374	1
267.875	1
272.375	1
276.375	1
280.376	1
319.878	1
324.879	1
330.879	1
334.879	1
338.88	1
345.88	1
351.38	1
355.381	1
359.381	1
363.381	1
370.382	1
374.382	1
379.882	1
383.883	1
390.384	1
394.883	1
401.884	1
405.884	1
409.884	1
414.885	1
422.385	1
427.886	1
432.886	1
437.386	1
444.387	1
448.387	1
451.887	1
459.388	1
463.388	1
466.888	1
474.389	1
478.389	1
483.889	1
490.89	1
494.89	1
500.39	1
503.891	1
511.391	1
514.891	1
519.392	1
524.892	1
531.893	1
535.893	1
539.393	1
543.893	1
550.894	1
554.894	1
558.894	1
562.894	1
566.895	1
570.895	1
574.895	1
581.896	1
587.396	1
590.896	1
594.897	1
598.897	1
603.397	1
608.898	1
615.898	1
