onset	duration
0.843	1
4.843	1
8.843	1
12.344	1
16.844	1
23.845	1
27.845	1
32.845	1
37.345	1
41.346	1
45.346	1
50.846	1
57.847	1
61.847	1
68.847	1
72.848	1
76.848	1
82.348	1
85.849	1
91.849	1
95.849	1
99.35	1
106.85	1
112.35	1
119.351	1
124.851	1
128.852	1
132.352	1
136.852	1
141.852	1
147.853	1
151.853	1
155.853	1
159.354	1
165.354	1
170.854	1
174.855	1
180.355	1
184.355	1
188.355	1
192.356	1
196.356	1
201.856	1
205.857	1
212.357	1
216.857	1
222.358	1
228.858	1
234.359	1
238.859	1
244.359	1
249.86	1
253.86	1
257.86	1
261.861	1
268.861	1
273.862	1
277.862	1
285.362	1
290.862	1
328.865	1
335.366	1
342.866	1
348.366	1
352.367	1
355.867	1
360.367	1
365.868	1
369.868	1
373.868	1
377.368	1
383.369	1
388.369	1
394.369	1
398.37	1
405.37	1
412.371	1
416.371	1
419.871	1
424.371	1
429.872	1
433.872	1
437.872	1
441.873	1
445.873	1
450.873	1
454.874	1
459.374	1
466.374	1
470.375	1
474.375	1
478.375	1
482.375	1
486.376	1
490.376	1
495.876	1
499.877	1
506.877	1
512.377	1
517.378	1
521.878	1
525.878	1
532.379	1
536.879	1
543.88	1
549.38	1
552.88	1
557.38	1
564.381	1
568.381	1
572.382	1
579.382	1
583.382	1
588.382	1
592.883	1
599.383	1
606.884	1
610.884	1
617.885	1
623.385	1
