onset	duration
0.848	1
4.848	1
8.848	1
12.349	1
16.349	1
20.849	1
25.85	1
31.85	1
35.85	1
42.351	1
46.851	1
50.851	1
54.852	1
61.352	1
67.352	1
71.353	1
74.853	1
79.353	1
83.354	1
88.854	1
92.354	1
98.355	1
105.355	1
111.855	1
117.856	1
123.356	1
127.356	1
132.857	1
138.357	1
145.358	1
149.358	1
153.358	1
157.359	1
161.358	1
165.359	1
169.359	1
174.86	1
178.86	1
182.86	1
186.861	1
192.362	1
195.861	1
201.861	1
205.862	1
211.362	1
215.362	1
219.363	1
224.863	1
228.863	1
232.864	1
236.364	1
242.364	1
249.365	1
253.365	1
256.865	1
261.365	1
265.366	1
269.366	1
272.866	1
277.367	1
318.369	1
322.37	1
329.37	1
334.871	1
340.371	1
344.371	1
349.371	1
356.372	1
360.372	1
364.373	1
368.873	1
374.373	1
378.373	1
385.374	1
389.374	1
393.374	1
397.375	1
401.375	1
408.376	1
413.876	1
417.376	1
421.876	1
425.877	1
432.877	1
436.877	1
442.378	1
445.878	1
450.379	1
455.879	1
461.379	1
465.379	1
470.88	1
474.88	1
480.38	1
485.881	1
491.381	1
496.882	1
500.882	1
504.882	1
508.882	1
514.383	1
518.383	1
521.883	1
529.384	1
534.884	1
538.884	1
545.885	1
552.885	1
559.886	1
565.386	1
570.887	1
574.387	1
581.887	1
587.388	1
590.888	1
595.388	1
601.889	1
607.389	1
613.389	1
616.89	1
