onset	duration
0.854	1
4.855	1
8.855	1
12.855	1
16.855	1
20.856	1
27.856	1
32.857	1
37.357	1
42.357	1
49.358	1
55.358	1
61.858	1
69.359	1
74.359	1
80.359	1
87.36	1
90.86	1
94.86	1
102.361	1
106.361	1
111.862	1
115.862	1
119.862	1
126.863	1
133.363	1
137.864	1
141.864	1
145.864	1
151.364	1
156.865	1
163.865	1
170.866	1
177.866	1
181.866	1
185.367	1
189.867	1
195.367	1
200.868	1
204.868	1
208.868	1
212.37	1
218.369	1
222.369	1
227.37	1
231.87	1
235.87	1
239.87	1
245.371	1
250.871	1
254.371	1
258.872	1
264.372	1
271.373	1
278.373	1
283.873	1
287.874	1
294.874	1
300.375	1
305.875	1
343.877	1
349.378	1
356.378	1
360.379	1
363.879	1
371.379	1
375.38	1
379.38	1
384.88	1
388.881	1
392.881	1
399.881	1
403.882	1
410.382	1
417.883	1
421.883	1
428.883	1
435.884	1
441.384	1
447.885	1
453.885	1
459.385	1
462.886	1
467.386	1
472.886	1
476.887	1
480.887	1
487.387	1
493.388	1
500.388	1
507.389	1
511.389	1
518.389	1
521.89	1
526.39	1
533.39	1
537.391	1
541.391	1
546.391	1
550.892	1
554.892	1
561.893	1
568.893	1
573.893	1
581.394	1
585.394	1
589.394	1
594.895	1
598.895	1
602.395	1
609.895	1
613.896	1
618.896	1
625.897	1
631.897	1
637.397	1
641.398	1
647.898	1
653.898	1
657.899	1
