onset	duration
0.855	1
5.855	1
9.855	1
14.356	1
18.356	1
23.856	1
29.357	1
32.857	1
38.857	1
45.858	1
52.858	1
58.359	1
62.359	1
69.359	1
72.86	1
76.86	1
81.36	1
86.861	1
90.861	1
97.861	1
101.362	1
108.862	1
115.863	1
119.863	1
125.363	1
130.864	1
136.364	1
142.864	1
150.365	1
157.365	1
162.866	1
166.866	1
173.366	1
180.867	1
187.867	1
191.868	1
196.868	1
201.368	1
208.369	1
212.369	1
219.37	1
224.37	1
230.37	1
235.871	1
239.871	1
243.371	1
247.871	1
253.372	1
257.372	1
261.372	1
264.873	1
270.873	1
277.874	1
283.374	1
290.374	1
294.375	1
301.375	1
305.375	1
309.376	1
313.376	1
352.879	1
356.879	1
362.379	1
367.38	1
374.38	1
380.38	1
385.881	1
389.881	1
396.882	1
403.882	1
407.882	1
411.382	1
417.383	1
422.383	1
426.883	1
433.384	1
437.884	1
441.885	1
447.385	1
454.385	1
459.886	1
463.886	1
469.386	1
474.887	1
480.387	1
484.387	1
488.388	1
492.388	1
496.388	1
501.888	1
505.889	1
509.889	1
515.389	1
520.89	1
524.39	1
528.89	1
534.391	1
538.391	1
545.391	1
549.392	1
554.393	1
561.893	1
565.393	1
569.893	1
573.893	1
580.894	1
584.394	1
588.894	1
595.395	1
599.895	1
605.395	1
609.396	1
613.396	1
617.396	1
622.397	1
626.897	1
632.397	1
637.898	1
644.898	1
649.899	1
