onset	duration
0.851	1
4.852	1
9.852	1
14.352	1
19.853	1
23.853	1
29.353	1
36.354	1
41.354	1
48.854	1
54.355	1
60.855	1
65.356	1
70.356	1
74.856	1
78.857	1
84.357	1
91.357	1
96.858	1
100.859	1
107.858	1
111.859	1
117.359	1
120.859	1
126.86	1
132.36	1
136.36	1
142.861	1
148.861	1
152.861	1
158.362	1
165.362	1
170.862	1
174.863	1
178.863	1
182.364	1
186.864	1
190.364	1
194.864	1
198.364	1
202.865	1
209.865	1
215.366	1
219.366	1
226.366	1
232.867	1
237.367	1
242.868	1
246.868	1
250.868	1
254.868	1
261.869	1
265.869	1
269.869	1
273.87	1
280.87	1
287.871	1
292.871	1
299.871	1
304.372	1
342.374	1
346.375	1
353.375	1
358.875	1
362.876	1
366.876	1
373.877	1
379.377	1
386.377	1
390.378	1
394.378	1
398.378	1
402.378	1
409.379	1
414.879	1
421.38	1
428.88	1
432.88	1
436.881	1
440.881	1
444.881	1
450.382	1
457.382	1
460.882	1
466.383	1
472.383	1
476.383	1
479.884	1
487.384	1
491.384	1
495.385	1
499.385	1
502.885	1
508.886	1
512.886	1
518.386	1
521.887	1
526.387	1
531.387	1
538.888	1
542.888	1
546.888	1
550.888	1
554.889	1
558.889	1
562.889	1
566.89	1
570.39	1
574.89	1
581.391	1
585.891	1
589.891	1
593.891	1
597.892	1
604.392	1
610.392	1
616.893	1
620.893	1
625.394	1
629.394	1
