onset	duration
0.848	1
4.848	1
11.849	1
17.349	1
21.349	1
25.349	1
30.85	1
35.85	1
41.351	1
47.351	1
50.851	1
56.852	1
62.352	1
66.352	1
70.353	1
74.353	1
77.853	1
82.353	1
86.354	1
91.854	1
97.354	1
102.855	1
107.855	1
115.356	1
120.856	1
124.356	1
128.857	1
135.857	1
140.857	1
145.358	1
149.358	1
154.358	1
161.859	1
165.859	1
169.859	1
173.86	1
177.86	1
183.36	1
188.861	1
192.861	1
196.361	1
200.862	1
204.862	1
210.362	1
217.363	1
222.863	1
227.863	1
232.364	1
237.864	1
241.864	1
245.865	1
249.365	1
253.865	1
257.865	1
261.866	1
265.867	1
269.366	1
276.867	1
282.367	1
286.367	1
323.87	1
331.37	1
336.871	1
343.871	1
349.372	1
352.872	1
356.872	1
361.373	1
366.873	1
372.373	1
378.874	1
383.374	1
387.374	1
394.375	1
398.375	1
403.375	1
407.876	1
414.876	1
419.876	1
424.377	1
429.877	1
433.877	1
439.378	1
445.878	1
453.379	1
457.379	1
460.879	1
468.38	1
473.88	1
479.38	1
483.381	1
490.381	1
494.381	1
498.382	1
501.882	1
507.882	1
514.883	1
518.883	1
524.383	1
528.384	1
533.884	1
537.884	1
543.385	1
547.385	1
552.885	1
558.386	1
562.386	1
566.386	1
573.387	1
578.387	1
585.888	1
592.888	1
599.389	1
605.389	1
609.389	1
616.39	1
620.39	1
625.89	1
632.391	1
639.891	1
