onset	duration
0.856	1
4.357	1
8.357	1
12.357	1
18.357	1
25.358	1
32.358	1
37.359	1
41.859	1
48.86	1
55.86	1
59.36	1
65.361	1
69.361	1
73.362	1
78.862	1
84.362	1
88.362	1
92.362	1
99.363	1
103.363	1
107.364	1
114.364	1
119.864	1
123.865	1
130.865	1
134.865	1
141.366	1
147.366	1
151.367	1
155.367	1
159.367	1
163.367	1
168.868	1
173.868	1
178.368	1
183.369	1
187.869	1
194.869	1
198.87	1
202.87	1
208.37	1
213.871	1
220.871	1
226.372	1
230.372	1
234.372	1
241.373	1
246.373	1
253.873	1
257.874	1
261.874	1
265.874	1
269.875	1
275.375	1
281.875	1
285.876	1
289.876	1
294.376	1
299.877	1
339.379	1
346.38	1
351.88	1
357.38	1
364.381	1
367.881	1
372.382	1
376.382	1
383.383	1
388.883	1
394.383	1
399.383	1
406.884	1
410.884	1
414.384	1
420.385	1
423.885	1
428.385	1
432.386	1
436.386	1
439.886	1
444.386	1
448.387	1
455.387	1
460.887	1
464.888	1
468.888	1
474.388	1
478.389	1
483.889	1
489.389	1
494.39	1
500.39	1
507.39	1
511.391	1
515.391	1
520.892	1
526.392	1
529.892	1
535.392	1
541.393	1
547.893	1
552.394	1
559.394	1
563.394	1
568.895	1
572.895	1
578.395	1
581.896	1
585.896	1
593.396	1
598.897	1
602.897	1
608.397	1
612.398	1
619.398	1
626.399	1
631.899	1
635.899	1
640.9	1
