onset	duration
0.853	1
4.854	1
8.854	1
14.354	1
18.355	1
22.355	1
26.355	1
31.856	1
35.856	1
42.856	1
46.857	1
51.857	1
56.357	1
61.858	1
67.358	1
72.858	1
79.859	1
83.859	1
90.86	1
94.86	1
100.36	1
104.36	1
107.861	1
113.861	1
119.362	1
126.362	1
131.862	1
138.863	1
142.863	1
146.863	1
151.864	1
155.864	1
161.864	1
165.865	1
170.865	1
175.365	1
179.366	1
186.366	1
191.366	1
197.367	1
202.367	1
206.867	1
210.868	1
215.868	1
221.868	1
225.369	1
229.869	1
233.369	1
240.87	1
245.87	1
253.371	1
257.371	1
261.371	1
266.872	1
273.872	1
280.372	1
286.373	1
290.373	1
294.373	1
299.874	1
