onset	duration
0.852	1
5.852	1
9.853	1
14.353	1
18.353	1
25.354	1
29.354	1
33.354	1
37.354	1
41.355	1
46.855	1
51.855	1
57.856	1
61.856	1
65.856	1
69.857	1
75.357	1
79.357	1
86.358	1
92.858	1
97.359	1
102.359	1
108.359	1
112.36	1
116.36	1
120.36	1
125.36	1
129.861	1
136.861	1
143.862	1
150.862	1
154.862	1
161.863	1
165.863	1
172.864	1
176.864	1
182.364	1
188.865	1
194.365	1
198.865	1
202.866	1
208.366	1
212.366	1
216.367	1
220.367	1
224.367	1
229.867	1
236.868	1
240.868	1
247.869	1
251.869	1
255.369	1
259.37	1
263.87	1
270.87	1
274.87	1
279.871	1
284.371	1
287.871	1
295.372	1
336.375	1
341.875	1
348.875	1
354.376	1
358.376	1
361.876	1
367.877	1
373.377	1
377.377	1
380.878	1
388.378	1
393.378	1
399.379	1
403.379	1
407.379	1
410.88	1
416.88	1
422.38	1
425.882	1
429.881	1
437.381	1
442.382	1
448.382	1
455.383	1
459.383	1
463.383	1
468.884	1
474.384	1
481.384	1
486.885	1
492.385	1
496.386	1
503.386	1
508.886	1
514.386	1
519.887	1
523.887	1
530.888	1
534.888	1
538.388	1
544.389	1
548.389	1
552.389	1
556.39	1
559.89	1
564.39	1
569.89	1
576.391	1
580.891	1
587.892	1
591.392	1
598.892	1
605.893	1
609.893	1
613.893	1
619.394	1
624.894	1
629.895	1
634.395	1
638.395	1
