onset	duration
0.856	1
7.857	1
11.857	1
15.857	1
22.358	1
26.858	1
32.358	1
37.859	1
44.859	1
50.36	1
54.36	1
58.36	1
62.36	1
66.361	1
70.361	1
77.361	1
81.362	1
87.862	1
91.862	1
96.363	1
101.863	1
107.363	1
112.864	1
116.864	1
120.864	1
127.865	1
134.865	1
138.866	1
145.866	1
149.866	1
153.867	1
160.367	1
166.367	1
171.868	1
175.868	1
180.868	1
186.869	1
191.869	1
197.87	1
201.87	1
205.87	1
209.87	1
214.871	1
222.371	1
226.371	1
230.372	1
233.872	1
237.872	1
241.873	1
245.873	1
253.374	1
258.874	1
264.374	1
269.874	1
275.375	1
281.875	1
289.376	1
294.876	1
298.876	1
302.877	1
343.879	1
347.88	1
351.88	1
357.38	1
362.881	1
366.381	1
372.381	1
376.382	1
379.882	1
385.882	1
389.383	1
393.883	1
397.883	1
404.884	1
408.884	1
414.384	1
419.885	1
423.385	1
430.885	1
436.386	1
440.386	1
445.386	1
449.887	1
453.887	1
457.887	1
461.887	1
465.888	1
472.888	1
476.888	1
482.389	1
486.389	1
491.889	1
495.89	1
501.39	1
504.89	1
509.391	1
513.391	1
519.891	1
523.892	1
528.392	1
532.392	1
539.393	1
542.893	1
547.393	1
554.394	1
561.394	1
566.894	1
573.895	1
580.895	1
584.896	1
590.396	1
593.896	1
597.897	1
602.397	1
606.397	1
613.397	1
617.398	1
620.898	1
625.398	1
629.399	1
