onset	duration
0.843	1
6.343	1
9.844	1
14.344	1
18.344	1
23.844	1
27.845	1
31.845	1
38.846	1
44.346	1
48.346	1
52.346	1
56.347	1
60.347	1
64.347	1
68.348	1
73.848	1
77.848	1
81.848	1
85.349	1
92.849	1
96.849	1
103.35	1
107.35	1
113.351	1
118.351	1
122.351	1
128.351	1
132.352	1
135.852	1
141.852	1
148.353	1
152.853	1
156.853	1
160.354	1
164.854	1
168.854	1
172.855	1
176.355	1
183.855	1
187.856	1
191.856	1
197.356	1
200.857	1
206.857	1
210.857	1
214.857	1
218.858	1
225.858	1
232.859	1
236.859	1
242.359	1
247.36	1
251.86	1
255.86	1
261.361	1
266.861	1
270.861	1
277.862	1
281.862	1
322.865	1
327.865	1
333.865	1
337.866	1
343.366	1
347.366	1
354.367	1
358.367	1
362.367	1
369.368	1
372.868	1
378.368	1
383.869	1
388.369	1
393.37	1
397.37	1
404.87	1
410.37	1
414.371	1
421.371	1
424.871	1
429.372	1
433.372	1
437.372	1
444.373	1
448.373	1
452.373	1
456.374	1
460.374	1
465.874	1
471.375	1
475.375	1
479.375	1
484.875	1
488.876	1
492.876	1
499.876	1
503.877	1
507.877	1
511.377	1
517.378	1
521.378	1
526.878	1
530.379	1
536.379	1
543.38	1
547.38	1
552.88	1
558.381	1
563.881	1
567.881	1
571.882	1
575.382	1
579.882	1
586.883	1
590.883	1
594.383	1
598.883	1
605.884	1
609.384	1
