onset	duration
0.849	1
4.849	1
8.849	1
15.85	1
19.85	1
24.85	1
32.351	1
35.851	1
41.351	1
45.852	1
50.852	1
56.852	1
63.853	1
67.853	1
71.853	1
77.353	1
80.854	1
85.354	1
92.355	1
99.355	1
103.356	1
110.356	1
115.356	1
122.857	1
128.358	1
135.358	1
139.358	1
143.358	1
147.359	1
151.359	1
155.359	1
159.359	1
163.36	1
166.86	1
174.36	1
181.361	1
185.361	1
189.361	1
194.362	1
200.362	1
205.862	1
211.363	1
218.363	1
222.363	1
226.364	1
229.864	1
233.864	1
241.365	1
248.366	1
252.365	1
256.366	1
263.366	1
267.366	1
272.367	1
279.867	1
283.868	1
287.868	1
294.868	1
299.869	1
307.369	1
346.872	1
350.872	1
354.872	1
359.873	1
363.873	1
368.373	1
373.374	1
377.874	1
384.875	1
390.375	1
397.375	1
404.376	1
408.376	1
415.377	1
422.377	1
426.377	1
433.378	1
437.378	1
443.879	1
447.879	1
453.879	1
457.88	1
461.88	1
465.88	1
471.38	1
475.381	1
482.381	1
485.881	1
490.382	1
494.382	1
499.883	1
503.883	1
507.883	1
511.883	1
515.883	1
521.384	1
525.384	1
528.884	1
532.885	1
537.385	1
544.385	1
548.386	1
552.386	1
557.886	1
561.887	1
567.387	1
571.387	1
575.387	1
579.388	1
583.388	1
587.388	1
593.889	1
601.389	1
607.89	1
614.89	1
620.891	1
624.891	1
628.891	1
632.891	1
636.392	1
