onset	duration
0.845	1
4.845	1
10.345	1
16.846	1
21.346	1
26.347	1
30.347	1
34.847	1
38.347	1
44.348	1
49.848	1
56.849	1
60.849	1
67.849	1
71.35	1
77.35	1
82.85	1
86.851	1
93.851	1
100.852	1
104.852	1
110.352	1
114.352	1
119.353	1
123.853	1
127.853	1
131.854	1
135.854	1
139.854	1
143.855	1
149.355	1
153.355	1
160.356	1
164.356	1
168.356	1
171.856	1
176.357	1
181.357	1
185.857	1
189.858	1
195.358	1
199.358	1
202.859	1
207.359	1
211.359	1
215.359	1
220.86	1
224.86	1
230.36	1
235.861	1
239.861	1
243.861	1
250.862	1
256.362	1
261.363	1
267.363	1
274.363	1
277.864	1
283.364	1
287.864	1
325.867	1
329.867	1
333.867	1
337.868	1
341.368	1
347.368	1
351.369	1
357.869	1
365.369	1
369.37	1
373.37	1
380.371	1
383.871	1
388.371	1
392.371	1
395.872	1
399.872	1
407.372	1
411.373	1
415.373	1
421.873	1
426.374	1
431.874	1
438.874	1
444.375	1
449.375	1
453.875	1
459.376	1
464.876	1
468.876	1
472.877	1
476.877	1
482.377	1
489.378	1
496.378	1
500.378	1
505.379	1
509.879	1
513.88	1
517.88	1
521.88	1
528.38	1
533.881	1
538.381	1
542.381	1
546.382	1
551.882	1
556.882	1
564.383	1
568.383	1
573.883	1
580.884	1
587.885	1
593.385	1
598.885	1
602.885	1
608.386	1
612.386	1
619.386	1
625.887	1
