onset	duration
0.845	1
4.846	1
8.345	1
12.846	1
17.846	1
23.846	1
29.347	1
34.847	1
38.847	1
45.848	1
49.848	1
56.849	1
63.849	1
67.849	1
72.85	1
77.35	1
82.85	1
86.851	1
90.851	1
94.851	1
98.852	1
102.352	1
106.352	1
110.852	1
115.853	1
121.853	1
125.853	1
129.854	1
134.854	1
140.854	1
147.855	1
151.855	1
155.855	1
159.856	1
163.856	1
169.356	1
173.357	1
177.357	1
182.857	1
186.857	1
190.858	1
194.858	1
200.358	1
205.859	1
209.86	1
215.359	1
220.86	1
224.861	1
228.36	1
235.861	1
242.361	1
249.862	1
255.362	1
260.863	1
264.863	1
271.363	1
275.363	1
279.364	1
286.864	1
290.864	1
330.367	1
335.368	1
339.368	1
343.868	1
349.368	1
353.369	1
357.369	1
361.369	1
366.369	1
372.37	1
376.37	1
383.371	1
387.371	1
391.371	1
394.872	1
398.872	1
403.372	1
408.372	1
412.873	1
416.873	1
420.873	1
426.374	1
431.874	1
438.874	1
442.875	1
448.375	1
452.375	1
456.376	1
463.376	1
470.377	1
475.877	1
481.377	1
486.878	1
490.878	1
496.378	1
500.379	1
504.379	1
511.379	1
516.88	1
520.88	1
527.881	1
531.381	1
535.881	1
539.881	1
544.882	1
549.382	1
554.882	1
561.883	1
565.883	1
571.383	1
578.384	1
585.385	1
589.385	1
596.385	1
601.886	1
605.386	1
612.386	1
616.387	1
622.387	1
628.888	1
