onset	duration
4.85	1
21.351	1
39.352	1
58.854	1
77.855	1
109.357	1
140.859	1
173.361	1
189.863	1
243.866	1
315.371	1
319.371	1
364.374	1
395.376	1
407.877	1
466.381	1
485.383	1
538.886	1
565.888	1
573.889	1
583.389	1
590.39	1
610.891	1
654.894	1
15.851	1
28.352	1
81.855	1
94.356	1
124.358	1
144.859	1
163.861	1
195.363	1
207.864	1
211.864	1
300.37	1
305.87	1
379.375	1
411.878	1
422.878	1
439.379	1
447.38	1
462.381	1
470.382	1
489.383	1
501.884	1
569.888	1
621.892	1
638.393	1
15.851	1
28.352	1
81.855	1
94.356	1
124.358	1
144.859	1
163.861	1
195.363	1
207.864	1
211.864	1
300.37	1
305.87	1
379.375	1
411.878	1
422.878	1
439.379	1
447.38	1
462.381	1
470.382	1
489.383	1
501.884	1
569.888	1
621.892	1
638.393	1
31.852	1
70.354	1
103.357	1
118.358	1
133.359	1
149.86	1
153.86	1
182.362	1
257.367	1
269.868	1
286.369	1
290.369	1
442.88	1
475.382	1
505.384	1
525.885	1
532.886	1
542.386	1
546.387	1
550.387	1
595.39	1
600.89	1
617.391	1
632.393	1
0.85	1
11.85	1
44.853	1
51.853	1
87.356	1
99.856	1
158.36	1
177.362	1
218.864	1
236.866	1
277.368	1
311.371	1
357.374	1
371.375	1
387.376	1
400.877	1
451.38	1
458.381	1
519.385	1
557.887	1
561.888	1
577.889	1
628.892	1
645.393	1
