onset	duration
0.349	1
4.849	1
8.85	1
12.85	1
17.85	1
23.851	1
27.851	1
31.851	1
35.851	1
42.852	1
48.352	1
52.353	1
57.853	1
61.353	1
68.354	1
75.854	1
82.855	1
87.855	1
95.355	1
99.356	1
102.856	1
108.356	1
112.357	1
116.857	1
123.857	1
127.358	1
131.858	1
138.858	1
142.859	1
148.359	1
151.859	1
157.86	1
161.86	1
165.86	1
169.861	1
175.361	1
178.861	1
186.362	1
191.862	1
198.863	1
202.862	1
206.863	1
210.863	1
217.864	1
224.864	1
228.865	1
234.365	1
239.865	1
245.366	1
250.866	1
254.866	1
260.367	1
264.367	1
268.367	1
272.367	1
276.368	1
282.868	1
287.369	1
291.369	1
298.369	1
339.372	1
343.372	1
350.373	1
355.873	1
361.374	1
366.874	1
372.374	1
377.874	1
383.375	1
389.875	1
397.376	1
402.876	1
406.876	1
413.377	1
419.377	1
423.378	1
428.878	1
432.878	1
439.379	1
443.879	1
447.879	1
454.38	1
460.38	1
465.88	1
469.881	1
473.881	1
480.881	1
484.882	1
490.382	1
494.382	1
499.883	1
505.383	1
509.383	1
514.384	1
518.384	1
522.384	1
529.885	1
533.885	1
540.886	1
545.886	1
549.886	1
554.386	1
558.387	1
562.387	1
566.387	1
569.888	1
574.388	1
577.889	1
583.889	1
587.889	1
591.889	1
595.889	1
602.89	1
606.89	1
610.89	1
614.891	1
618.891	1
622.891	1
626.892	1
630.392	1
