onset	duration
0.852	1
7.353	1
12.853	1
17.353	1
22.854	1
26.854	1
30.854	1
34.855	1
39.855	1
45.855	1
49.856	1
55.356	1
60.856	1
64.857	1
68.857	1
72.857	1
78.358	1
82.358	1
89.358	1
94.859	1
98.359	1
102.359	1
109.86	1
116.86	1
120.86	1
124.861	1
130.361	1
134.361	1
138.362	1
143.862	1
149.362	1
154.863	1
161.363	1
165.864	1
169.364	1
176.864	1
180.365	1
186.365	1
191.365	1
195.866	1
199.866	1
206.866	1
213.867	1
219.367	1
223.367	1
227.368	1
230.868	1
236.868	1
240.869	1
244.369	1
251.869	1
258.87	1
262.87	1
266.87	1
270.871	1
274.371	1
278.871	1
285.872	1
289.872	1
293.872	1
331.875	1
335.875	1
339.875	1
344.876	1
349.376	1
354.876	1
358.877	1
362.877	1
366.877	1
370.877	1
374.878	1
381.378	1
385.878	1
391.379	1
396.379	1
402.38	1
406.38	1
413.38	1
418.881	1
422.381	1
428.381	1
433.882	1
437.882	1
443.382	1
448.883	1
454.383	1
461.384	1
468.384	1
475.384	1
479.385	1
483.385	1
487.385	1
492.386	1
498.386	1
505.386	1
510.387	1
514.887	1
518.887	1
522.888	1
529.888	1
533.388	1
539.389	1
542.889	1
547.389	1
552.89	1
558.39	1
563.39	1
569.391	1
574.891	1
578.891	1
582.892	1
589.892	1
593.392	1
597.893	1
602.893	1
607.393	1
612.894	1
616.894	1
623.895	1
627.395	1
