onset	duration
0.344	1
7.844	1
11.344	1
15.845	1
22.845	1
26.845	1
32.346	1
36.346	1
41.846	1
45.847	1
52.847	1
58.348	1
62.348	1
67.848	1
71.848	1
75.349	1
79.849	1
85.349	1
90.85	1
94.85	1
100.35	1
104.351	1
108.351	1
115.351	1
119.351	1
124.352	1
131.853	1
137.353	1
141.353	1
146.854	1
153.354	1
157.354	1
164.855	1
170.355	1
174.355	1
178.355	1
181.856	1
186.356	1
190.356	1
195.357	1
201.357	1
205.357	1
209.358	1
215.858	1
221.859	1
226.859	1
231.359	1
238.36	1
243.86	1
247.86	1
251.86	1
257.361	1
262.361	1
266.861	1
270.862	1
276.362	1
281.863	1
287.363	1
290.863	1
298.364	1
336.366	1
343.367	1
348.867	1
355.868	1
359.868	1
363.368	1
367.368	1
371.869	1
375.869	1
379.369	1
385.37	1
390.87	1
397.871	1
403.371	1
408.871	1
415.372	1
422.372	1
426.872	1
433.373	1
437.873	1
441.373	1
447.374	1
452.874	1
456.874	1
460.875	1
467.875	1
471.876	1
475.376	1
481.376	1
486.877	1
493.877	1
499.377	1
503.378	1
508.878	1
512.878	1
518.379	1
523.879	1
529.379	1
534.88	1
541.38	1
547.381	1
554.381	1
557.881	1
563.882	1
570.882	1
577.883	1
584.883	1
588.883	1
595.884	1
599.884	1
606.885	1
612.385	1
616.385	1
621.386	1
628.886	1
634.387	1
641.387	1
644.887	1
652.388	1
656.388	1
